,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
34,Accounting-050200,537,485,413,90.32%,76.91%,651,567,522,87.10%,80.18%,San Diego Miramar Total
35,Banking and Finance-050400,95,87,66,91.58%,69.47%,90,73,57,81.11%,63.33%,San Diego Miramar Total
36,Business Administration-050500,691,657,564,95.08%,81.62%,337,301,251,89.32%,74.48%,San Diego Miramar Total
37,Business Management-050600,385,360,303,93.51%,78.70%,393,368,307,93.64%,78.12%,San Diego Miramar Total
38,Insurance-051200,17,17,4,100.00%,23.53%,0,0,0,0,0,San Diego Miramar Total
39,Marketing and Distribution-050900,62,61,43,98.39%,69.35%,264,248,228,93.94%,86.36%,San Diego Miramar Total
40,Office Technology/Office Computer Applications-051400,185,166,131,89.73%,70.81%,283,266,211,93.99%,74.56%,San Diego Miramar Total
41,Real Estate-051100,97,92,67,94.85%,69.07%,81,74,59,91.36%,72.84%,San Diego Miramar Total
42,Small Business and Entrepreneurship-050640,110,95,79,86.36%,71.82%,128,105,64,82.03%,50.00%,San Diego Miramar Total
43,Tax Studies-050210,116,95,89,81.90%,76.72%,66,57,54,86.36%,81.82%,San Diego Miramar Total
44,Non Distance Education Methods Total,599,523,464,87.31%,77.46%,454,412,344,90.75%,75.77%,San Diego Miramar Total
45,Accounting-050200,146,128,111,87.67%,76.03%,103,85,73,82.52%,70.87%,San Diego Miramar Total
46,Business Administration-050500,224,219,195,97.77%,87.05%,73,67,50,91.78%,68.49%,San Diego Miramar Total
47,Business Management-050600,148,141,125,95.27%,84.46%,87,85,77,97.70%,88.51%,San Diego Miramar Total
48,Marketing and Distribution-050900,0,0,0,0,0,138,129,117,93.48%,84.78%,San Diego Miramar Total
49,Small Business and Entrepreneurship-050640,81,35,33,43.21%,40.74%,53,46,27,86.79%,50.94%,San Diego Miramar Total
0,Simultaneous Interaction (Internet Based) Total,25,24,24,96.00%,96.00%,18,18,16,100.00%,88.89%,San Diego Miramar Total
1,Small Business and Entrepreneurship-050640,25,24,24,96.00%,96.00%,18,18,16,100.00%,88.89%,San Diego Miramar Total
2,San Francisco Total,"2,024","1,619","1,373",79.99%,67.84%,"1,925","1,651","1,361",85.77%,70.70%,San Francisco Total
3,Delayed Interaction (Internet Based) Total,"1,270","1,027",856,80.87%,67.40%,"1,187","1,009",868,85.00%,73.13%,San Francisco Total
4,Accounting-050200,187,163,145,87.17%,77.54%,234,214,188,91.45%,80.34%,San Francisco Total
5,Advertising-050910,42,42,37,100.00%,88.10%,0,0,0,0,0,San Francisco Total
6,"Business and Commerce, General-050100",84,73,68,86.90%,80.95%,87,70,64,80.46%,73.56%,San Francisco Total
7,Business Management-050600,140,121,106,86.43%,75.71%,134,118,103,88.06%,76.87%,San Francisco Total
8,Escrow-051110,36,31,26,86.11%,72.22%,29,28,27,96.55%,93.10%,San Francisco Total
9,Labor and Industrial Relations-051600,83,71,56,85.54%,67.47%,76,58,48,76.32%,63.16%,San Francisco Total
10,Management Development and Supervision-050630,33,30,23,90.91%,69.70%,29,26,21,89.66%,72.41%,San Francisco Total
11,Marketing and Distribution-050900,71,68,56,95.77%,78.87%,105,96,91,91.43%,86.67%,San Francisco Total
12,Office Technology/Office Computer Applications-051400,398,250,199,62.81%,50.00%,306,223,184,72.88%,60.13%,San Francisco Total
13,Real Estate-051100,196,178,140,90.82%,71.43%,187,176,142,94.12%,75.94%,San Francisco Total
14,Non Distance Education Methods Total,754,592,517,78.51%,68.57%,738,642,493,86.99%,66.80%,San Francisco Total
15,Accounting-050200,215,182,174,84.65%,80.93%,244,211,173,86.48%,70.90%,San Francisco Total
16,Banking and Finance-050400,27,25,18,92.59%,66.67%,29,22,14,75.86%,48.28%,San Francisco Total
17,"Business and Commerce, General-050100",72,58,46,80.56%,63.89%,73,61,45,83.56%,61.64%,San Francisco Total
18,Labor and Industrial Relations-051600,37,20,18,54.05%,48.65%,21,9,7,42.86%,33.33%,San Francisco Total
19,Marketing and Distribution-050900,87,82,66,94.25%,75.86%,78,72,61,92.31%,78.21%,San Francisco Total
20,Office Technology/Office Computer Applications-051400,74,67,67,90.54%,90.54%,100,88,76,88.00%,76.00%,San Francisco Total
21,Real Estate-051100,200,123,98,61.50%,49.00%,153,140,89,91.50%,58.17%,San Francisco Total
22,Small Business and Entrepreneurship-050640,42,35,30,83.33%,71.43%,40,39,28,97.50%,70.00%,San Francisco Total
23,San Joaquin Delta Total,"3,859","3,629","2,988",94.04%,77.43%,"4,029","3,789","3,094",94.04%,76.79%,San Joaquin Delta Total
24,Delayed Interaction (Internet Based) Total,"3,366","3,150","2,566",93.58%,76.23%,"3,545","3,327","2,700",93.85%,76.16%,San Joaquin Delta Total
25,Accounting-050200,501,453,380,90.42%,75.85%,586,529,472,90.27%,80.55%,San Joaquin Delta Total
26,Advertising-050910,52,51,35,98.08%,67.31%,52,47,27,90.38%,51.92%,San Joaquin Delta Total
27,Banking and Finance-050400,0,0,0,0,0,114,102,94,89.47%,82.46%,San Joaquin Delta Total
28,Business Administration-050500,549,527,457,95.99%,83.24%,595,581,480,97.65%,80.67%,San Joaquin Delta Total
29,"Business and Commerce, General-050100",598,585,465,97.83%,77.76%,593,570,451,96.12%,76.05%,San Joaquin Delta Total
30,Business Management-050600,0,0,0,0,0,42,36,21,85.71%,50.00%,San Joaquin Delta Total
31,Customer Service-051800,0,0,0,0,0,32,31,27,96.88%,84.38%,San Joaquin Delta Total
32,E-Commerce (Business emphasis)-050970,0,0,0,0,0,52,52,33,100.00%,63.46%,San Joaquin Delta Total
33,International Business and Trade-050800,29,28,24,96.55%,82.76%,13,13,11,100.00%,84.62%,San Joaquin Delta Total
34,Logistics and Materials Transportation-051000,78,74,63,94.87%,80.77%,14,14,11,100.00%,78.57%,San Joaquin Delta Total
35,Management Development and Supervision-050630,61,54,45,88.52%,73.77%,63,61,53,96.83%,84.13%,San Joaquin Delta Total
36,Marketing and Distribution-050900,59,54,47,91.53%,79.66%,89,87,55,97.75%,61.80%,San Joaquin Delta Total
37,Office Management-051440,66,62,39,93.94%,59.09%,45,38,30,84.44%,66.67%,San Joaquin Delta Total
38,Office Technology/Office Computer Applications-051400,540,477,393,88.33%,72.78%,480,439,339,91.46%,70.63%,San Joaquin Delta Total
39,Other Business and Management-059900,33,30,16,90.91%,48.48%,0,0,0,0,0,San Joaquin Delta Total
40,Real Estate-051100,292,278,232,95.21%,79.45%,340,329,288,96.76%,84.71%,San Joaquin Delta Total
41,Retail Store Operations and Management-050650,31,30,27,96.77%,87.10%,51,49,35,96.08%,68.63%,San Joaquin Delta Total
42,Sales and Salesmanship-050940,82,80,63,97.56%,76.83%,55,52,38,94.55%,69.09%,San Joaquin Delta Total
43,Small Business and Entrepreneurship-050640,319,295,220,92.48%,68.97%,269,246,188,91.45%,69.89%,San Joaquin Delta Total
44,Tax Studies-050210,76,72,60,94.74%,78.95%,60,51,47,85.00%,78.33%,San Joaquin Delta Total
45,Non Distance Education Methods Total,493,479,422,97.16%,85.60%,484,462,394,95.45%,81.40%,San Joaquin Delta Total
46,Accounting-050200,84,80,75,95.24%,89.29%,113,108,89,95.58%,78.76%,San Joaquin Delta Total
47,Banking and Finance-050400,0,0,0,0,0,45,39,34,86.67%,75.56%,San Joaquin Delta Total
48,Business Administration-050500,268,267,244,99.63%,91.04%,227,225,202,99.12%,88.99%,San Joaquin Delta Total
49,"Business and Commerce, General-050100",46,43,32,93.48%,69.57%,18,18,16,100.00%,88.89%,San Joaquin Delta Total
0,Business Management-050600,2,2,1,100.00%,50.00%,25,21,18,84.00%,72.00%,San Joaquin Delta Total
1,Management Development and Supervision-050630,0,0,0,0,0,13,11,5,84.62%,38.46%,San Joaquin Delta Total
2,Marketing and Distribution-050900,51,50,42,98.04%,82.35%,0,0,0,0,0,San Joaquin Delta Total
3,Office Technology/Office Computer Applications-051400,12,11,11,91.67%,91.67%,23,20,16,86.96%,69.57%,San Joaquin Delta Total
4,Small Business and Entrepreneurship-050640,30,26,17,86.67%,56.67%,20,20,14,100.00%,70.00%,San Joaquin Delta Total
5,San Jose City Total,"1,327","1,105",870,83.27%,65.56%,"1,250","1,041",827,83.28%,66.16%,San Jose City Total
6,Delayed Interaction (Internet Based) Total,461,377,294,81.78%,63.77%,403,346,276,85.86%,68.49%,San Jose City Total
7,Accounting-050200,123,114,97,92.68%,78.86%,87,77,64,88.51%,73.56%,San Jose City Total
8,"Business and Commerce, General-050100",74,65,53,87.84%,71.62%,81,74,64,91.36%,79.01%,San Jose City Total
9,Office Technology/Office Computer Applications-051400,153,91,74,59.48%,48.37%,135,102,76,75.56%,56.30%,San Jose City Total
10,Real Estate-051100,111,107,70,96.40%,63.06%,100,93,72,93.00%,72.00%,San Jose City Total
11,Non Distance Education Methods Total,298,249,193,83.56%,64.77%,239,214,174,89.54%,72.80%,San Jose City Total
12,Accounting-050200,44,40,34,90.91%,77.27%,0,0,0,0,0,San Jose City Total
13,"Business and Commerce, General-050100",206,176,130,85.44%,63.11%,197,175,140,88.83%,71.07%,San Jose City Total
14,Business Management-050600,24,15,15,62.50%,62.50%,0,0,0,0,0,San Jose City Total
15,International Business and Trade-050800,7,5,4,71.43%,57.14%,0,0,0,0,0,San Jose City Total
16,Marketing and Distribution-050900,13,10,8,76.92%,61.54%,31,28,24,90.32%,77.42%,San Jose City Total
17,Office Technology/Office Computer Applications-051400,4,3,2,75.00%,50.00%,0,0,0,0,0,San Jose City Total
18,Real Estate-051100,0,0,0,0,0,11,11,10,100.00%,90.91%,San Jose City Total
19,Simultaneous Interaction (Internet Based) Total,503,425,338,84.49%,67.20%,488,377,289,77.25%,59.22%,San Jose City Total
20,Accounting-050200,240,212,173,88.33%,72.08%,192,156,121,81.25%,63.02%,San Jose City Total
21,"Business and Commerce, General-050100",153,120,87,78.43%,56.86%,162,120,86,74.07%,53.09%,San Jose City Total
22,Business Management-050600,0,0,0,0,0,28,20,16,71.43%,57.14%,San Jose City Total
23,Office Technology/Office Computer Applications-051400,24,20,20,83.33%,83.33%,94,72,57,76.60%,60.64%,San Jose City Total
24,Real Estate-051100,86,73,58,84.88%,67.44%,12,9,9,75.00%,75.00%,San Jose City Total
25,"Text one-way (e.g. newspaper, correspondence, etc.) Total",65,54,45,83.08%,69.23%,120,104,88,86.67%,73.33%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
26,Accounting-050200,25,23,20,92.00%,80.00%,98,87,72,88.78%,73.47%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
27,Marketing and Distribution-050900,0,0,0,0,0,22,17,16,77.27%,72.73%,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
28,Office Technology/Office Computer Applications-051400,40,31,25,77.50%,62.50%,0,0,0,0,0,"Text one-way (e.g. newspaper, correspondence, etc.) Total"
29,San Mateo Total,"2,585","2,213","1,851",85.61%,71.61%,"2,228","1,937","1,579",86.94%,70.87%,San Mateo Total
30,Delayed Interaction (Internet Based) Total,114,91,72,79.82%,63.16%,30,22,20,73.33%,66.67%,San Mateo Total
31,Tax Studies-050210,114,91,72,79.82%,63.16%,30,22,20,73.33%,66.67%,San Mateo Total
32,Non Distance Education Methods Total,"2,471","2,122","1,779",85.88%,72.00%,"2,198","1,915","1,559",87.12%,70.93%,San Mateo Total
33,Accounting-050200,948,828,665,87.34%,70.15%,813,722,526,88.81%,64.70%,San Mateo Total
34,Advertising-050910,0,0,0,0,0,29,19,15,65.52%,51.72%,San Mateo Total
35,Banking and Finance-050400,33,29,23,87.88%,69.70%,0,0,0,0,0,San Mateo Total
36,Business Administration-050500,29,25,16,86.21%,55.17%,0,0,0,0,0,San Mateo Total
37,"Business and Commerce, General-050100",750,632,549,84.27%,73.20%,595,514,442,86.39%,74.29%,San Mateo Total
38,Business Management-050600,161,118,94,73.29%,58.39%,105,77,61,73.33%,58.10%,San Mateo Total
39,International Business and Trade-050800,69,62,53,89.86%,76.81%,86,77,67,89.53%,77.91%,San Mateo Total
40,Management Development and Supervision-050630,14,10,4,71.43%,28.57%,38,33,21,86.84%,55.26%,San Mateo Total
41,Marketing and Distribution-050900,58,53,49,91.38%,84.48%,68,61,52,89.71%,76.47%,San Mateo Total
42,Office Technology/Office Computer Applications-051400,122,107,98,87.70%,80.33%,121,118,113,97.52%,93.39%,San Mateo Total
43,Other Business and Management-059900,35,33,25,94.29%,71.43%,30,29,25,96.67%,83.33%,San Mateo Total
44,Real Estate-051100,99,83,83,83.84%,83.84%,121,96,88,79.34%,72.73%,San Mateo Total
45,Small Business and Entrepreneurship-050640,71,60,46,84.51%,64.79%,167,148,131,88.62%,78.44%,San Mateo Total
46,Tax Studies-050210,82,82,74,100.00%,90.24%,25,21,18,84.00%,72.00%,San Mateo Total
47,Santa Ana Total,"3,550","2,858","2,317",80.51%,65.27%,"3,047","2,586","2,188",84.87%,71.81%,Santa Ana Total
48,Delayed Interaction (Internet Based) Total,"2,968","2,362","1,939",79.58%,65.33%,"2,350","1,983","1,681",84.38%,71.53%,Santa Ana Total
49,Accounting-050200,701,576,512,82.17%,73.04%,708,596,506,84.18%,71.47%,Santa Ana Total
0,Banking and Finance-050400,76,60,49,78.95%,64.47%,52,43,38,82.69%,73.08%,Santa Ana Total
1,Business Administration-050500,274,239,204,87.23%,74.45%,243,227,195,93.42%,80.25%,Santa Ana Total
2,"Business and Commerce, General-050100",278,245,174,88.13%,62.59%,240,217,180,90.42%,75.00%,Santa Ana Total
3,Business Management-050600,204,173,133,84.80%,65.20%,135,120,100,88.89%,74.07%,Santa Ana Total
4,International Business and Trade-050800,32,28,18,87.50%,56.25%,44,39,32,88.64%,72.73%,Santa Ana Total
5,Marketing and Distribution-050900,30,28,25,93.33%,83.33%,84,66,49,78.57%,58.33%,Santa Ana Total
6,Office Management-051440,127,83,61,65.35%,48.03%,123,101,93,82.11%,75.61%,Santa Ana Total
7,Office Technology/Office Computer Applications-051400,904,625,522,69.14%,57.74%,446,331,295,74.22%,66.14%,Santa Ana Total
8,Small Business and Entrepreneurship-050640,100,85,62,85.00%,62.00%,65,56,33,86.15%,50.77%,Santa Ana Total
9,Tax Studies-050210,242,220,179,90.91%,73.97%,210,187,160,89.05%,76.19%,Santa Ana Total
10,Non Distance Education Methods Total,336,309,246,91.96%,73.21%,472,418,352,88.56%,74.58%,Santa Ana Total
11,Accounting-050200,108,93,68,86.11%,62.96%,134,104,91,77.61%,67.91%,Santa Ana Total
12,Business Administration-050500,53,48,38,90.57%,71.70%,48,46,40,95.83%,83.33%,Santa Ana Total
13,"Business and Commerce, General-050100",77,72,51,93.51%,66.23%,70,60,40,85.71%,57.14%,Santa Ana Total
14,Business Management-050600,24,23,18,95.83%,75.00%,19,19,15,100.00%,78.95%,Santa Ana Total
15,International Business and Trade-050800,48,48,46,100.00%,95.83%,52,52,40,100.00%,76.92%,Santa Ana Total
16,Office Technology/Office Computer Applications-051400,26,25,25,96.15%,96.15%,52,51,51,98.08%,98.08%,Santa Ana Total
17,Small Business and Entrepreneurship-050640,0,0,0,0,0,74,69,62,93.24%,83.78%,Santa Ana Total
18,Tax Studies-050210,0,0,0,0,0,23,17,13,73.91%,56.52%,Santa Ana Total
19,Two-way interactive video and audio Total,246,187,132,76.02%,53.66%,225,185,155,82.22%,68.89%,Two-way interactive video and audio Total
20,Accounting-050200,25,25,14,100.00%,56.00%,26,19,11,73.08%,42.31%,Two-way interactive video and audio Total
21,Banking and Finance-050400,0,0,0,0,0,15,10,10,66.67%,66.67%,Two-way interactive video and audio Total
22,Business Administration-050500,0,0,0,0,0,24,21,16,87.50%,66.67%,Two-way interactive video and audio Total
23,"Business and Commerce, General-050100",19,16,12,84.21%,63.16%,34,29,20,85.29%,58.82%,Two-way interactive video and audio Total
24,Business Management-050600,61,40,29,65.57%,47.54%,90,72,66,80.00%,73.33%,Two-way interactive video and audio Total
25,International Business and Trade-050800,50,29,26,58.00%,52.00%,18,17,16,94.44%,88.89%,Two-way interactive video and audio Total
26,Marketing and Distribution-050900,38,27,18,71.05%,47.37%,18,17,16,94.44%,88.89%,Two-way interactive video and audio Total
27,Small Business and Entrepreneurship-050640,27,25,13,92.59%,48.15%,0,0,0,0,0,Two-way interactive video and audio Total
28,Tax Studies-050210,26,25,20,96.15%,76.92%,0,0,0,0,0,Two-way interactive video and audio Total
29,Santa Barbara Total,"3,106","2,856","2,295",91.95%,73.89%,"3,228","3,025","2,446",93.71%,75.77%,Santa Barbara Total
30,Delayed Interaction (Internet Based) Total,"2,189","1,976","1,518",90.27%,69.35%,"2,381","2,209","1,715",92.78%,72.03%,Santa Barbara Total
31,Accounting-050200,448,402,281,89.73%,62.72%,490,459,356,93.67%,72.65%,Santa Barbara Total
32,Banking and Finance-050400,334,296,222,88.62%,66.47%,357,322,237,90.20%,66.39%,Santa Barbara Total
33,Business Administration-050500,553,527,445,95.30%,80.47%,538,512,421,95.17%,78.25%,Santa Barbara Total
34,"Business and Commerce, General-050100",84,78,51,92.86%,60.71%,34,30,19,88.24%,55.88%,Santa Barbara Total
35,Business Management-050600,217,194,155,89.40%,71.43%,203,183,139,90.15%,68.47%,Santa Barbara Total
36,E-Commerce (Business emphasis)-050970,23,23,17,100.00%,73.91%,25,25,19,100.00%,76.00%,Santa Barbara Total
37,International Business and Trade-050800,49,31,23,63.27%,46.94%,54,53,43,98.15%,79.63%,Santa Barbara Total
38,Marketing and Distribution-050900,142,130,91,91.55%,64.08%,216,202,143,93.52%,66.20%,Santa Barbara Total
39,Office Technology/Office Computer Applications-051400,106,78,72,73.58%,67.92%,211,188,161,89.10%,76.30%,Santa Barbara Total
40,Real Estate-051100,211,197,151,93.36%,71.56%,228,214,161,93.86%,70.61%,Santa Barbara Total
41,Sales and Salesmanship-050940,22,20,10,90.91%,45.45%,25,21,16,84.00%,64.00%,Santa Barbara Total
42,Non Distance Education Methods Total,917,880,777,95.97%,84.73%,847,816,731,96.34%,86.30%,Santa Barbara Total
43,Accounting-050200,222,213,183,95.95%,82.43%,90,82,72,91.11%,80.00%,Santa Barbara Total
44,Banking and Finance-050400,159,152,136,95.60%,85.53%,195,193,172,98.97%,88.21%,Santa Barbara Total
45,Business Administration-050500,357,348,311,97.48%,87.11%,161,153,126,95.03%,78.26%,Santa Barbara Total
46,"Business and Commerce, General-050100",23,19,11,82.61%,47.83%,49,48,47,97.96%,95.92%,Santa Barbara Total
47,Business Management-050600,0,0,0,0,0,39,37,34,94.87%,87.18%,Santa Barbara Total
48,Marketing and Distribution-050900,93,85,77,91.40%,82.80%,65,65,62,100.00%,95.38%,Santa Barbara Total
49,Other Business and Management-059900,48,48,45,100.00%,93.75%,248,238,218,95.97%,87.90%,Santa Barbara Total
0,Sales and Salesmanship-050940,15,15,14,100.00%,93.33%,0,0,0,0,0,Santa Barbara Total
1,Santa Monica Total,"5,186","4,770","3,959",91.98%,76.34%,"4,938","4,566","3,825",92.47%,77.46%,Santa Monica Total
2,Delayed Interaction (Internet Based) Total,"3,934","3,613","3,022",91.84%,76.82%,"4,077","3,754","3,167",92.08%,77.68%,Santa Monica Total
3,Accounting-050200,"1,534","1,421","1,277",92.63%,83.25%,"1,592","1,448","1,302",90.95%,81.78%,Santa Monica Total
4,Banking and Finance-050400,95,91,82,95.79%,86.32%,99,85,77,85.86%,77.78%,Santa Monica Total
5,Business Administration-050500,22,19,15,86.36%,68.18%,70,61,50,87.14%,71.43%,Santa Monica Total
6,"Business and Commerce, General-050100","1,060",946,720,89.25%,67.92%,983,907,702,92.27%,71.41%,Santa Monica Total
7,Business Management-050600,154,150,94,97.40%,61.04%,243,238,155,97.94%,63.79%,Santa Monica Total
8,Customer Service-051800,19,17,8,89.47%,42.11%,68,68,59,100.00%,86.76%,Santa Monica Total
9,Insurance-051200,46,41,35,89.13%,76.09%,25,24,21,96.00%,84.00%,Santa Monica Total
10,International Business and Trade-050800,33,29,14,87.88%,42.42%,38,13,6,34.21%,15.79%,Santa Monica Total
11,Legal Office Technology-051410,0,0,0,0,0,20,19,16,95.00%,80.00%,Santa Monica Total
12,Logistics and Materials Transportation-051000,116,113,67,97.41%,57.76%,76,75,62,98.68%,81.58%,Santa Monica Total
13,Management Development and Supervision-050630,78,65,59,83.33%,75.64%,34,30,29,88.24%,85.29%,Santa Monica Total
14,Marketing and Distribution-050900,417,384,355,92.09%,85.13%,464,445,401,95.91%,86.42%,Santa Monica Total
15,Medical Office Technology-051420,147,138,126,93.88%,85.71%,96,87,80,90.63%,83.33%,Santa Monica Total
16,Office Technology/Office Computer Applications-051400,148,141,113,95.27%,76.35%,207,195,153,94.20%,73.91%,Santa Monica Total
17,Sales and Salesmanship-050940,38,36,36,94.74%,94.74%,35,35,33,100.00%,94.29%,Santa Monica Total
18,Small Business and Entrepreneurship-050640,27,22,21,81.48%,77.78%,27,24,21,88.89%,77.78%,Santa Monica Total
19,Non Distance Education Methods Total,"1,252","1,157",937,92.41%,74.84%,861,812,658,94.31%,76.42%,Santa Monica Total
20,Accounting-050200,319,278,213,87.15%,66.77%,292,265,200,90.75%,68.49%,Santa Monica Total
21,"Business and Commerce, General-050100",484,448,368,92.56%,76.03%,306,292,235,95.42%,76.80%,Santa Monica Total
22,Business Management-050600,128,125,100,97.66%,78.13%,0,0,0,0,0,Santa Monica Total
23,Marketing and Distribution-050900,200,192,168,96.00%,84.00%,156,151,129,96.79%,82.69%,Santa Monica Total
24,Office Technology/Office Computer Applications-051400,121,114,88,94.21%,72.73%,88,85,75,96.59%,85.23%,Santa Monica Total
25,Tax Studies-050210,0,0,0,0,0,19,19,19,100.00%,100.00%,Santa Monica Total
26,Santa Rosa Total,"12,236","10,764","8,996",87.97%,73.52%,"2,917","2,601","2,150",89.17%,73.71%,Santa Rosa Total
27,Delayed Interaction (Internet Based) Total,"7,304","6,336","5,252",86.75%,71.91%,"2,199","1,943","1,622",88.36%,73.76%,Santa Rosa Total
28,Accounting-050200,"1,656","1,412","1,160",85.27%,70.05%,449,386,316,85.97%,70.38%,Santa Rosa Total
29,Banking and Finance-050400,108,104,68,96.30%,62.96%,17,13,9,76.47%,52.94%,Santa Rosa Total
30,"Business and Commerce, General-050100","1,556","1,372","1,144",88.17%,73.52%,681,619,540,90.90%,79.30%,Santa Rosa Total
31,Business Management-050600,996,860,696,86.35%,69.88%,294,247,212,84.01%,72.11%,Santa Rosa Total
32,Legal Office Technology-051410,0,0,0,0,0,32,28,27,87.50%,84.38%,Santa Rosa Total
33,Management Development and Supervision-050630,92,84,76,91.30%,82.61%,27,25,18,92.59%,66.67%,Santa Rosa Total
34,Marketing and Distribution-050900,432,400,352,92.59%,81.48%,102,88,78,86.27%,76.47%,Santa Rosa Total
35,Office Technology/Office Computer Applications-051400,"1,484","1,236","1,072",83.29%,72.24%,379,340,275,89.71%,72.56%,Santa Rosa Total
36,Real Estate-051100,904,808,640,89.38%,70.80%,208,187,141,89.90%,67.79%,Santa Rosa Total
37,Small Business and Entrepreneurship-050640,76,60,44,78.95%,57.89%,10,10,6,100.00%,60.00%,Santa Rosa Total
38,Non Distance Education Methods Total,"4,836","4,340","3,688",89.74%,76.26%,627,572,464,91.23%,74.00%,Santa Rosa Total
39,Accounting-050200,988,872,752,88.26%,76.11%,147,122,95,82.99%,64.63%,Santa Rosa Total
40,Advertising-050910,196,164,116,83.67%,59.18%,56,55,41,98.21%,73.21%,Santa Rosa Total
41,"Business and Commerce, General-050100","2,444","2,232","1,988",91.33%,81.34%,181,169,146,93.37%,80.66%,Santa Rosa Total
42,Business Management-050600,168,144,108,85.71%,64.29%,33,32,28,96.97%,84.85%,Santa Rosa Total
43,Management Development and Supervision-050630,104,88,72,84.62%,69.23%,0,0,0,0,0,Santa Rosa Total
44,Marketing and Distribution-050900,216,180,152,83.33%,70.37%,55,51,42,92.73%,76.36%,Santa Rosa Total
45,Office Technology/Office Computer Applications-051400,80,80,60,100.00%,75.00%,18,16,12,88.89%,66.67%,Santa Rosa Total
46,Real Estate-051100,332,292,208,87.95%,62.65%,91,86,67,94.51%,73.63%,Santa Rosa Total
47,Sales and Salesmanship-050940,108,96,72,88.89%,66.67%,0,0,0,0,0,Santa Rosa Total
48,Small Business and Entrepreneurship-050640,200,192,160,96.00%,80.00%,46,41,33,89.13%,71.74%,Santa Rosa Total
49,Simultaneous Interaction (Internet Based) Total,96,88,56,91.67%,58.33%,91,86,64,94.51%,70.33%,Santa Rosa Total
0,Accounting-050200,0,0,0,0,0,27,24,13,88.89%,48.15%,Santa Rosa Total
1,"Business and Commerce, General-050100",0,0,0,0,0,64,62,51,96.88%,79.69%,Santa Rosa Total
2,Business Management-050600,96,88,56,91.67%,58.33%,0,0,0,0,0,Santa Rosa Total
3,Santiago Canyon Total,"1,346","1,042",862,77.41%,64.04%,"1,447","1,212",934,83.76%,64.55%,Santiago Canyon Total
4,Delayed Interaction (Internet Based) Total,"1,023",761,636,74.39%,62.17%,"1,144",945,720,82.60%,62.94%,Santiago Canyon Total
5,Accounting-050200,85,37,30,43.53%,35.29%,146,87,65,59.59%,44.52%,Santiago Canyon Total
6,Business Administration-050500,9,7,3,77.78%,33.33%,30,27,15,90.00%,50.00%,Santiago Canyon Total
7,"Business and Commerce, General-050100",132,103,79,78.03%,59.85%,244,200,151,81.97%,61.89%,Santiago Canyon Total
8,Business Management-050600,101,61,57,60.40%,56.44%,104,90,74,86.54%,71.15%,Santiago Canyon Total
9,E-Commerce (Business emphasis)-050970,46,13,9,28.26%,19.57%,0,0,0,0,0,Santiago Canyon Total
10,Marketing and Distribution-050900,157,91,78,57.96%,49.68%,123,94,64,76.42%,52.03%,Santiago Canyon Total
11,Office Technology/Office Computer Applications-051400,25,20,12,80.00%,48.00%,45,36,27,80.00%,60.00%,Santiago Canyon Total
12,Real Estate-051100,468,429,368,91.67%,78.63%,452,411,324,90.93%,71.68%,Santiago Canyon Total
13,Non Distance Education Methods Total,229,202,160,88.21%,69.87%,247,217,169,87.85%,68.42%,Santiago Canyon Total
14,Accounting-050200,117,101,79,86.32%,67.52%,96,84,61,87.50%,63.54%,Santiago Canyon Total
15,Business Administration-050500,0,0,0,0,0,92,82,65,89.13%,70.65%,Santiago Canyon Total
16,"Business and Commerce, General-050100",37,34,20,91.89%,54.05%,26,20,13,76.92%,50.00%,Santiago Canyon Total
17,Business Management-050600,67,61,55,91.04%,82.09%,16,14,13,87.50%,81.25%,Santiago Canyon Total
18,Marketing and Distribution-050900,0,0,0,0,0,17,17,17,100.00%,100.00%,Santiago Canyon Total
19,Other Business and Management-059900,8,6,6,75.00%,75.00%,0,0,0,0,0,Santiago Canyon Total
20,Two-way interactive video and audio Total,94,79,66,84.04%,70.21%,56,50,45,89.29%,80.36%,Two-way interactive video and audio Total
21,Accounting-050200,94,79,66,84.04%,70.21%,36,32,29,88.89%,80.56%,Two-way interactive video and audio Total
22,Other Business and Management-059900,0,0,0,0,0,20,18,16,90.00%,80.00%,Two-way interactive video and audio Total
23,Sequoias Total,"1,486","1,362","1,140",91.66%,76.72%,"1,338","1,211",961,90.51%,71.82%,Sequoias Total
24,Delayed Interaction (Internet Based) Total,738,666,566,90.24%,76.69%,678,612,512,90.27%,75.52%,Sequoias Total
25,Accounting-050200,196,165,134,84.18%,68.37%,169,136,119,80.47%,70.41%,Sequoias Total
26,Business Administration-050500,18,15,10,83.33%,55.56%,0,0,0,0,0,Sequoias Total
27,"Business and Commerce, General-050100",424,392,345,92.45%,81.37%,421,394,325,93.59%,77.20%,Sequoias Total
28,Office Technology/Office Computer Applications-051400,64,60,50,93.75%,78.13%,88,82,68,93.18%,77.27%,Sequoias Total
29,Tax Studies-050210,36,34,27,94.44%,75.00%,0,0,0,0,0,Sequoias Total
